                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.23645,                0.16932,                 0.7994,                0.92303,                0.92007,                0.95502,                0.91662,                0.26352,                0.29612,                0.74996,              0.0026902,              0.0026902,              0.0026902
                      2,                0.25365,                0.18609,                0.80536,                0.91999,                0.91784,                0.95209,                0.90874,                 0.2751,                 0.3049,                 0.7555,              0.0048483,              0.0048483,              0.0048483
                      3,                0.27592,                0.21435,                 0.8136,                0.91776,                0.91689,                0.95458,                0.90771,                0.28563,                0.31047,                0.76462,              0.0064736,              0.0064736,              0.0064736
                      4,                 0.3277,                0.28535,                 0.8414,                0.92295,                0.91927,                0.95337,                0.89715,                 0.3149,                0.31244,                 0.7858,              0.0070298,              0.0070298,              0.0070298
                      5,                0.36275,                0.32915,                0.85999,                0.92752,                0.91488,                0.95383,                0.89658,                0.31089,                0.30708,                0.78277,              0.0070298,              0.0070298,              0.0070298
                      6,                0.34683,                 0.3024,                0.85125,                0.92521,                0.91787,                0.95899,                0.90931,                0.29171,                0.29266,                0.76933,              0.0060398,              0.0060398,              0.0060398
                      7,                0.32543,                0.26889,                0.84016,                0.93021,                 0.9184,                0.96012,                0.91322,                0.28609,                0.28848,                0.76956,              0.0050497,              0.0050497,              0.0050497
                      8,                0.30279,                0.24328,                0.82932,                0.92582,                0.92341,                0.96094,                0.91535,                0.27687,                0.28082,                0.76275,              0.0040596,              0.0040596,              0.0040596
                      9,                0.28361,                0.21719,                0.81899,                0.93292,                0.91929,                0.95688,                0.91482,                0.27057,                0.28738,                 0.7583,              0.0030696,              0.0030696,              0.0030696
                     10,                0.26026,                0.19169,                0.80959,                0.92647,                0.92158,                 0.9557,                0.91647,                0.26395,                0.28959,                 0.7539,              0.0020795,              0.0020795,              0.0020795
