                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.25293,                0.17072,                0.81763,                 0.9219,                 0.9097,                0.94637,                0.90417,                0.29117,                 0.3204,                 0.7748,              0.0034919,              0.0034919,              0.0034919
                      2,                 0.2804,                0.19802,                0.82835,                0.92495,                0.91301,                0.94928,                0.90004,                0.30681,                0.31988,                0.78754,              0.0062923,              0.0062923,              0.0062923
                      3,                0.32571,                0.25645,                0.84959,                0.91375,                0.90421,                0.94941,                0.89194,                0.32885,                0.32694,                0.79694,              0.0080177,              0.0080177,              0.0080177
                      4,                0.36951,                0.30499,                0.87315,                0.92608,                0.90331,                0.95098,                0.89671,                0.31717,                0.31902,                0.79072,              0.0080177,              0.0080177,              0.0080177
                      5,                0.35279,                0.28189,                0.86414,                0.92293,                0.91261,                0.95288,                0.90121,                0.30799,                 0.3011,                0.78807,              0.0070265,              0.0070265,              0.0070265
                      6,                0.33435,                0.25967,                0.85551,                0.93375,                0.91983,                0.95827,                0.91037,                0.29698,                 0.2823,                 0.7824,              0.0060354,              0.0060354,              0.0060354
                      7,                0.31629,                0.23575,                0.84654,                0.93559,                0.92225,                0.95855,                0.91315,                0.29061,                0.27957,                0.77881,              0.0050442,              0.0050442,              0.0050442
                      8,                0.29726,                 0.2141,                0.83784,                0.93295,                0.92805,                0.95884,                 0.9162,                0.28635,                0.27049,                0.77358,               0.004053,               0.004053,               0.004053
                      9,                0.27682,                0.19621,                0.82699,                0.92576,                0.92337,                 0.9561,                0.91377,                0.28004,                0.27976,                0.77188,              0.0030619,              0.0030619,              0.0030619
                     10,                0.25762,                0.17677,                0.81904,                 0.9293,                0.92421,                0.95641,                0.91672,                0.27067,                0.27133,                0.76592,              0.0020707,              0.0020707,              0.0020707
