                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.37443,                 1.0151,                0.98141,                0.85643,                0.88639,                0.92071,                 0.8554,                0.35329,                0.50146,                0.94235,               0.003333,               0.003333,               0.003333
                      2,                0.45976,                0.58419,                 1.0253,                0.88932,                 0.8889,                 0.9384,                0.87361,                0.33087,                0.40539,                0.93565,              0.0060063,              0.0060063,              0.0060063
                      3,                0.50863,                0.59637,                 1.0494,                0.88618,                 0.9002,                0.94225,                0.87647,                0.35446,                 0.4027,                0.94542,              0.0080197,              0.0080197,              0.0080197
                      4,                0.48921,                0.53375,                 1.0344,                0.89935,                0.91582,                0.95188,                0.89238,                0.32682,                0.34623,                0.93108,                0.00703,                0.00703,                0.00703
                      5,                0.43742,                0.45196,                 1.0007,                0.93188,                0.92463,                0.96406,                0.91045,                0.30195,                0.30845,                0.91783,                0.00703,                0.00703,                0.00703
                      6,                0.39364,                0.38542,                0.97208,                0.93596,                0.93386,                0.96728,                0.91607,                 0.2932,                0.28826,                0.91259,                0.00604,                0.00604,                0.00604
                      7,                0.36031,                0.33843,                0.95337,                0.93475,                0.94345,                0.96876,                0.92187,                0.27849,                0.27265,                0.90495,                0.00505,                0.00505,                0.00505
                      8,                0.33364,                0.29999,                0.93621,                0.94063,                 0.9451,                0.97005,                0.92537,                0.27084,                0.26675,                0.89998,                0.00406,                0.00406,                0.00406
                      9,                0.30819,                0.26573,                0.92304,                0.93943,                0.94686,                 0.9721,                0.92891,                0.26671,                0.25981,                 0.8982,                0.00307,                0.00307,                0.00307
                     10,                 0.2839,                0.23459,                0.90774,                 0.9384,                0.95268,                0.97278,                0.93178,                0.26196,                0.25501,                0.89396,                0.00208,                0.00208,                0.00208
