                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.35864,                0.78773,                0.94658,                0.92227,                0.89841,                0.94473,                0.88457,                 0.3246,                0.41929,                0.87384,               0.003333,               0.003333,               0.003333
                      2,                0.42334,                  0.449,                0.97277,                0.91998,                0.92081,                0.95177,                0.88976,                0.32708,                0.37907,                 0.8875,              0.0060064,              0.0060064,              0.0060064
                      3,                0.46012,                 0.4609,                0.99069,                0.90529,                0.90739,                0.94448,                0.88335,                0.32967,                0.39652,                0.88619,              0.0080197,              0.0080197,              0.0080197
                      4,                0.43852,                0.40829,                0.97648,                0.90995,                0.90005,                0.94605,                0.88669,                 0.3373,                0.40787,                0.88522,                0.00703,                0.00703,                0.00703
                      5,                0.39766,                0.34934,                0.95229,                0.91053,                0.89977,                0.94755,                 0.8895,                0.33912,                0.40739,                 0.8845,                0.00703,                0.00703,                0.00703
                      6,                0.36161,                0.30657,                0.93229,                 0.9146,                0.91003,                0.95104,                0.89487,                0.33398,                0.39177,                0.88023,                0.00604,                0.00604,                0.00604
                      7,                0.33526,                0.27436,                0.91764,                0.91962,                0.91138,                 0.9532,                0.89959,                0.32467,                0.37865,                0.87313,                0.00505,                0.00505,                0.00505
                      8,                0.30988,                0.24477,                0.90339,                0.92463,                0.91332,                0.95472,                0.90406,                0.31381,                0.36777,                0.86633,                0.00406,                0.00406,                0.00406
                      9,                0.28754,                0.22186,                0.89238,                0.92284,                0.91843,                0.95512,                0.90687,                0.30397,                0.36415,                0.86116,                0.00307,                0.00307,                0.00307
                     10,                0.26542,                0.19922,                0.88055,                 0.9218,                0.92038,                0.95527,                0.90927,                0.29474,                0.36546,                0.85622,                0.00208,                0.00208,                0.00208
