                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.47764,                  1.046,                  1.013,                 0.8198,                0.76966,                0.84029,                0.71547,                 0.5423,                 0.8472,                 0.9978,             0.00022224,             0.00022224,             0.00022224
                      2,                0.51554,                0.64553,                 1.0255,                0.88204,                0.83357,                0.88821,                0.79425,                0.45314,                0.58709,                0.93478,             0.00040056,             0.00040056,             0.00040056
                      3,                0.47911,                0.53862,                 1.0054,                0.88104,                0.88227,                0.91661,                0.82396,                0.41961,                 0.4823,                0.92116,             0.00053486,             0.00053486,             0.00053486
                      4,                0.42563,                0.44508,                 0.9733,                0.90722,                0.89457,                0.93454,                0.85481,                0.37688,                 0.4281,                 0.8895,              0.0004689,              0.0004689,              0.0004689
                      5,                0.39724,                0.39359,                0.95529,                0.90703,                0.90371,                0.93848,                0.86311,                0.35852,                 0.4142,                0.88362,              0.0004689,              0.0004689,              0.0004689
                      6,                0.37162,                0.35088,                0.94181,                0.91499,                0.92087,                0.94589,                0.87387,                 0.3519,                0.36098,                0.87412,             0.00040287,             0.00040287,             0.00040287
                      7,                0.34298,                0.31291,                0.92689,                0.92156,                0.91338,                0.94167,                0.87847,                  0.323,                 0.3599,                0.86019,             0.00033683,             0.00033683,             0.00033683
                      8,                0.32007,                0.28107,                 0.9139,                0.88171,                0.92728,                0.93841,                0.87507,                0.32051,                0.37199,                0.85928,              0.0002708,              0.0002708,              0.0002708
                      9,                0.30031,                0.25429,                0.90399,                0.89292,                0.92366,                0.94325,                0.88599,                0.30541,                0.35671,                0.85097,             0.00020477,             0.00020477,             0.00020477
                     10,                0.27697,                0.22856,                0.88938,                0.90942,                0.89754,                0.93427,                0.88449,                0.28548,                 0.3855,                0.83937,             0.00013874,             0.00013874,             0.00013874
